ID,Title,AutomationStatus,
66140,Verify that MADP agent supports multiple paging option and Data should remain intact on navigating from one page to another .,Not Automated,
66142,Verify that the apps (Active and Paused both) deleted by Customer Admin doesn't appear in  App Catalogue.,Planned,
66145,Verify that MADP agent ignores a Delete command if the relevant application is not yet installed on the device.,Planned,
66147,Verify the icon of a web application should change when MADP agent receives a 'Blocked' status for any installed application.,Planned,
66148,Verify the behavior of MADP agent when the web app's state changes from 'Active' to 'Blocked'.,Planned,
66149,Verify the behavior of MADP agent when the web app's state changes from 'Blocked' to 'Active'.,Planned,
66150,Verify the behavior of MADP agent when it recieves a 'Blocked' status for an app which is not yet installed in the app catalogue.,Planned,
68240,Verify that the MADP agent doesnot show the paging icon state if there is only one page present.,Not Automated,
68241,Verify the behavior of MADP agent when user tries to scroll left and app is currently on the first page.,Not Automated,
68242,Verify the behavior of MADP agent when user tries to scroll right and app is currently on the last page.,Not Automated,
68243,Verify the page layout on the app catalogue screen.,Not Automated,
68261,Verify that if app is not installed on agent and it is in "Active" state on server then server should send "Install" command to agent.,Not Automated,
68262,Verify that if app is not installed on agent and it is in "Deleted" state on server then server should not send any command to agent for that specific app.,Not Automated,
68263,Verify that if app is not installed on agent and it is in "Blocked" state on server then server should not send any command to agent for that specific app.,Not Automated,
68264,Verify that if state at server is "Active" and version has not changed then server should not send any command to agent for that specific app.,Not Automated,
68265,Verify that if app is installed on agent as "Active" and state at server is "Blocked" then server should send "Pause" command.,Not Automated,
68266,Verify that if the app is installed on the agent and state at server is "Deleted" then server should send "Delete" command.,Not Automated,
68267,Verify that state of app on the agent is "Paused" and if state at server is "Active" then server should send "Activate" command.,Not Automated,
68268,Verify that if the State of app at agent is "Paused" and if state at server is "Paused" then server should not send any command.,Not Automated,
68269,Verify that the state of app at agent is "Paused" and if state at server is "Deleted" then server should send "Delete" command.,Not Automated,
68307,Verify that the zip file downloaded by the agent goes to the correct location (i.e. Internal storage) on the device.,Not Automated,
68308,Verify that the AppConfig.json file contains the information about following database tables.,Not Automated,
68309,Verify that there is a table with name 'SyncWorkFlow' created on the agent side.,Not Automated,
68310,Verify that there should be a table with name 'AppConfiguration' on the agent side.,Not Automated,
68311,Verify that there should be a table with name 'InstallationWorkFlow' on the agent side.,Not Automated,
68312,Verify that there should be a table with name 'FormTable' on the agent side.,Not Automated,
68313,Verify that the tables on the agent side gets populated whenever a new app is installed on the device.,Not Automated,
68314,Sanity test,Not Automated,
68334,Verify the behaviour of MADP agent when there is no space in interval memory and server push some apps on the agent.,Not Automated,
68356,Verify that if server issues a Pause command then agent respond in their next sync.,Not Automated,
68358,Verify the options when user clicks on the actions button.,Not Automated,
68359,Verify that if server issues a Delete command then agent respond in their next sync.,Not Automated,
68379,WebConsole | Verify that for an admin can create a new app only when fills a 'Create new app' form present on the web console.,Not Automated,
68380,WebConsole | Verify that there should be proper validation for the 'app name' of the web app passed by the admin while creating new app page.,Not Automated,
68381,WebConsole | Verify that there should be proper validation for the 'app icon' of the web app passed by the admin while creating new app page.,Not Automated,
68382,Verify that there should be proper validation for the number of characters in the 'Description' of the web app passed by the admin while creating new app page.,Not Automated,
68386,Verify the database entires in the table for newly created apps.,Not Automated,
68456,Verify that nothing is saved in the database if user discards 'New app' form page.,Not Automated,
68483,Verify that if app is not installed on agent and it is in "Active" state on server then server should send "Install" command to agent.,Not Automated,
